,Artificial Intelligence,Robotics & Mechatronics,Advanced Manufacturing,Bioengineering ,Environmental Engineering,Sustainable Energy,Engineering Business,Global Leadership ,Nanoengineering,Music Performance
0,APS360,AER372,MIE304,CHE353,CME259,CIV300,CHE249,GLB201,MSE219,PMU299
1,ECE345,BME344,MIE221,BME205,ESC203,APS305,CHE374,GLB301,BME346,TMU130
2,ECE358,CHE322,MIE364,BME412,ENV221,ENV350,CME368,GLB401,ECE330,ECE446
3,CSC263,ECE311,MSE351,BME455,GGR223,CME259,ECE472,APS299,ECE335,TMU111
4,MIE335,ECE356,CHE324,BME331,CHE460,CHE260,MIE258,APS510,ECE350,TMU319
5,ROB311,MIE404,MIE519,CHE354,CHE467,CHE323,MIE358,APS420,PHY358,TMU320
6,CSC384,AER525,TEP343,BME498,CIV220,CHE460,JRE300,APS530,BME440,TMU313
7,MIE369,ECE470,TEP442,BME440,CIV440,CHE467,JRE410,APS490,CHE475,TMU330
8,ECE421,MIE422,CHE488,CHE450,CHE230,CIV375,JRE420,ECE496,CHE562,TMU406
9,CSC311,MIE443,CIV488,BME595,CHM210,CIV440,TEP234,MIE490,CHM325,HMU111
10,ROB313,MIE444,ECE488,CHE475,CHM310,ECE313,TEP343,MIE491,CHM328,TMU131
11,MIE424,AER301,MSE488,ECE448,CIV250,ECE314,TEP432,CIV498,CHM338,MUS110
12,CHE507,APS360,MIE488,MSE343,CIV300,ECE349,TEP442,ANT204,ECE427,MUS111
13,CSC401,BME350,JRE420,MSE440,CIV375,FOR310,TEP444,ENV333,FOR424,MUS200
14,CSC413,ECE316,CHE441,BME350,ENV222,GGR347,TEP445,GGR112,MSE430,MUS202
15,CSC420,ECE334,MIE342,BME395,ENV234,GGR348,TEP448,JGU216,MSE443,MUS204
16,CSC485,ECE345,MIE354,MIE439,ENV350,MIE311,APS500,POL201,MSE438,MUS209
17,CSC486,ECE353,AER525,MIE458,FOR308,MIE313,APS502,POL208,MSE459,MUS211
18,ECE368,ECE358,CHE562,MIE520,GGR314,MSE355,APS510,CDN268,MSE462,MUS212
19,HPS345,ECE363,CHE462,BME330,MIE315,JPE395,APS511,,MSE451,MUS215
20,HPS346,MIE243,CHE475,BME445,APS420,AER507,APS420,,MSE458,MUS240
21,MIE368,MIE301,CHE561,BME530,APS530,APS510,CHE488,,MIE506,MUS302
22,MIE451,BME331,ECE470,ECE446,CHE475,APS530,CIV488,,MIE517,MUS305
23,MIE457,MIE346,FOR424,,CHE564,CHE451,ECE488,,PHY427,MUS306
24,MIE562,ROB310,MIE469,,CHE565,CHE469,MIE488,,PHY450,MUS308
25,MIE566,ROB311,MIE368,,CHE471,CHE566,MSE488,,PHY452,MUS321
26,ROB501,ROB313,MIE562,,CHM410,CHE568,MIE354,,PHY456,MUS335
27,,AER407,MIE566,,CHM415,CIV531,MIE540,,PHY485,
28,,ROB521,MIE422,,CIV531,CIV576,ECO101,,PHY487,
29,,CHE507,MIE440,,CIV536,CIV577,ECO102,,,
30,,CSC384,MIE441,,CIV541,ECE463,FOR308,,,
31,,CSC311,MIE443,,CIV549,ECE520,GGR252,,,
32,,CSC428,MIE501,,CIV550,ECE526,HPS283,,,
33,,ECE410,MIE540,,CIV575,FOR425,PHL295,,,
34,,ECE411,MSE419,,CIV576,MIE407,,,,
35,,ECE431,MSE421,,CIV577,MIE408,,,,
36,,BME445,MSE443,,CIV578,MIE515,,,,
37,,ECE516,MSE478,,CME500,MIE516,,,,
38,,ECE532,MSE431,,FOR421,MIE517,,,,
39,,ECE421,MSE438,,FOR424,MIE507,,,,
40,,ECE557,MSE455,,MIE515,MSE458,,,,
41,,MAT363,MSE461,,MIN330,,,,,
42,,MIE438,,,MIN511,,,,,
43,,MIE442,,,MSE415,,,,,
44,,MIE505,,,,,,,,
45,,MIE506,,,,,,,,
